+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  0 |       NEW |     READY |
|                 0 |  1 |       NEW |     READY |
|                 0 |  2 |       NEW |     READY |
|                 0 |  3 |       NEW |     READY |
|                 0 |  4 |       NEW |     READY |
|                 0 |  0 |     READY |   RUNNING |
|               100 |  0 |   RUNNING |     READY |
|               100 |  1 |     READY |   RUNNING |
|               200 |  1 |   RUNNING |     READY |
|               200 |  2 |     READY |   RUNNING |
|               300 |  2 |   RUNNING |     READY |
|               300 |  3 |     READY |   RUNNING |
|               400 |  3 |   RUNNING |     READY |
|               400 |  4 |     READY |   RUNNING |
|               500 |  4 |   RUNNING |     READY |
|               500 |  0 |     READY |   RUNNING |
|               600 |  0 |   RUNNING |     READY |
|               600 |  1 |     READY |   RUNNING |
|               700 |  1 |   RUNNING |     READY |
|               700 |  2 |     READY |   RUNNING |
|               800 |  2 |   RUNNING |   WAITING |
|               800 |  3 |     READY |   RUNNING |
|               900 |  3 |   RUNNING |     READY |
|               900 |  2 |   WAITING |     READY |
|               900 |  4 |     READY |   RUNNING |
|              1000 |  4 |   RUNNING |     READY |
|              1000 |  0 |     READY |   RUNNING |
|              1100 |  0 |   RUNNING |TERMINATED |
|              1100 |  1 |     READY |   RUNNING |
|              1200 |  1 |   RUNNING |     READY |
|              1200 |  3 |     READY |   RUNNING |
|              1300 |  3 |   RUNNING |     READY |
|              1300 |  2 |     READY |   RUNNING |
|              1400 |  2 |   RUNNING |     READY |
|              1400 |  4 |     READY |   RUNNING |
|              1500 |  4 |   RUNNING |     READY |
|              1500 |  1 |     READY |   RUNNING |
|              1600 |  1 |   RUNNING |     READY |
|              1600 |  3 |     READY |   RUNNING |
|              1700 |  3 |   RUNNING |TERMINATED |
|              1700 |  2 |     READY |   RUNNING |
|              1800 |  2 |   RUNNING |TERMINATED |
|              1800 |  4 |     READY |   RUNNING |
|              1900 |  4 |   RUNNING |TERMINATED |
|              1900 |  1 |     READY |   RUNNING |
|              2000 |  1 |   RUNNING |TERMINATED |
+------------------------------------------------+
