+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  0 |       NEW |     READY |
|                 0 |  1 |       NEW |     READY |
|                 0 |  2 |       NEW |     READY |
|                 0 |  3 |       NEW |     READY |
|                 0 |  4 |       NEW |     READY |
|                 0 |  0 |     READY |   RUNNING |
|               100 |  0 |   RUNNING |     READY |
|               100 |  1 |     READY |   RUNNING |
|               200 |  1 |   RUNNING |     READY |
|               200 |  2 |     READY |   RUNNING |
|               300 |  2 |   RUNNING |     READY |
|               300 |  3 |     READY |   RUNNING |
|               400 |  3 |   RUNNING |     READY |
|               400 |  4 |     READY |   RUNNING |
|               500 |  4 |   RUNNING |     READY |
|               500 |  0 |     READY |   RUNNING |
|               600 |  0 |   RUNNING |     READY |
|               600 |  1 |     READY |   RUNNING |
|               700 |  1 |   RUNNING |     READY |
|               700 |  2 |     READY |   RUNNING |
|               800 |  2 |   RUNNING |     READY |
|               800 |  3 |     READY |   RUNNING |
|               900 |  3 |   RUNNING |     READY |
|               900 |  4 |     READY |   RUNNING |
|              1000 |  4 |   RUNNING |     READY |
|              1000 |  0 |     READY |   RUNNING |
|              1100 |  0 |   RUNNING |     READY |
|              1100 |  1 |     READY |   RUNNING |
|              1200 |  1 |   RUNNING |     READY |
|              1200 |  2 |     READY |   RUNNING |
|              1300 |  2 |   RUNNING |     READY |
|              1300 |  3 |     READY |   RUNNING |
|              1400 |  3 |   RUNNING |     READY |
|              1400 |  4 |     READY |   RUNNING |
|              1500 |  4 |   RUNNING |     READY |
|              1500 |  0 |     READY |   RUNNING |
|              1600 |  0 |   RUNNING |     READY |
|              1600 |  1 |     READY |   RUNNING |
|              1700 |  1 |   RUNNING |     READY |
|              1700 |  2 |     READY |   RUNNING |
|              1800 |  2 |   RUNNING |     READY |
|              1800 |  3 |     READY |   RUNNING |
|              1900 |  3 |   RUNNING |TERMINATED |
|              1900 |  5 |       NEW |     READY |
|              1900 |  4 |     READY |   RUNNING |
|              2000 |  4 |   RUNNING |     READY |
|              2000 |  0 |     READY |   RUNNING |
|              2100 |  0 |   RUNNING |     READY |
|              2100 |  1 |     READY |   RUNNING |
|              2200 |  1 |   RUNNING |TERMINATED |
|              2200 |  2 |     READY |   RUNNING |
|              2300 |  2 |   RUNNING |     READY |
|              2300 |  5 |     READY |   RUNNING |
|              2400 |  5 |   RUNNING |     READY |
|              2400 |  4 |     READY |   RUNNING |
|              2500 |  4 |   RUNNING |     READY |
|              2500 |  0 |     READY |   RUNNING |
|              2600 |  0 |   RUNNING |     READY |
|              2600 |  2 |     READY |   RUNNING |
|              2700 |  2 |   RUNNING |TERMINATED |
|              2700 |  5 |     READY |   RUNNING |
|              2800 |  5 |   RUNNING |     READY |
|              2800 |  4 |     READY |   RUNNING |
|              2900 |  4 |   RUNNING |     READY |
|              2900 |  0 |     READY |   RUNNING |
|              3000 |  0 |   RUNNING |TERMINATED |
|              3000 |  5 |     READY |   RUNNING |
|              3100 |  5 |   RUNNING |TERMINATED |
|              3100 |  4 |     READY |   RUNNING |
|              3200 |  4 |   RUNNING |     READY |
|              3200 |  4 |     READY |   RUNNING |
|              3300 |  4 |   RUNNING |TERMINATED |
+------------------------------------------------+
